PlacesCount,TransitionsCount,ArcsCount,VarsCount,ConditionsCount,Boundedness,ConstraintStates,ConstraintArcs,DeadTransitions,Deadlocks,Soundness,Milliseconds
6,5,13,3,5,False,8,7,0,False,True,85
6,5,12,3,5,True,6,6,2,True,False,29
6,5,12,3,5,False,8,8,1,False,False,47
12,10,27,5,10,False,117,152,0,False,True,3191
12,10,26,5,10,True,65,143,3,True,False,1041
12,10,26,5,10,False,81,81,2,False,False,449
18,15,41,7,15,False,41,40,6,False,False,465
18,15,41,7,15,False,47,46,3,False,False,352
18,15,41,7,15,True,278,684,4,True,False,8700
24,20,55,10,20,False,107,106,6,False,False,844
24,20,55,10,20,False,311,722,8,False,False,10178
24,20,55,10,20,False,33,32,11,False,False,303
30,25,70,12,25,False,81,80,14,False,False,1656
30,25,69,12,25,False,133,133,6,False,False,1745
30,25,69,12,25,False,32,31,14,False,False,363
36,30,83,15,30,False,144,145,10,False,False,4619
36,30,85,15,30,False,159,160,10,False,False,3482
36,30,84,15,30,False,58,57,17,False,False,942
42,35,98,17,35,False,88,87,17,False,False,1787
42,35,99,17,35,False,256,255,12,False,False,19765
42,35,99,17,35,False,192,193,11,False,False,9913
42,35,99,17,35,False,55,54,20,False,False,263
48,40,114,20,40,False,149,148,20,False,False,1300
48,40,113,20,40,False,231,230,22,False,False,8978
48,40,112,20,40,False,117,116,21,False,False,1601
54,45,126,22,45,False,204,203,17,False,False,3510
54,45,127,22,45,False,178,177,17,False,False,47308
54,45,127,22,45,False,336,338,18,False,False,49893
60,50,143,25,50,False,132,131,27,False,False,2941
60,50,143,25,50,False,1400,4394,24,False,False,156468
60,50,143,25,50,False,320,319,24,False,False,7213
66,55,157,27,55,False,127,127,28,False,False,11571
66,55,157,27,55,False,315,316,18,False,False,22243
66,55,157,27,55,False,139,138,29,False,False,8778
72,60,172,30,60,False,263,262,31,False,False,6727
72,60,172,30,60,False,268,267,24,False,False,53386
72,60,170,30,60,False,620,619,31,False,False,79256
78,65,185,32,65,False,1234,1233,22,False,False,58370
78,65,186,32,65,False,375,378,34,False,False,8521
78,65,185,32,65,False,351,350,38,False,False,113638
84,70,201,35,70,False,462,461,37,False,False,34332
84,70,200,35,70,False,198,197,37,False,False,65790
84,70,201,35,70,False,668,670,38,False,False,121327
90,75,215,37,75,False,2208,6460,43,False,False,205240
90,75,215,37,75,False,342,380,44,False,False,55065
90,75,214,37,75,False,272,273,44,False,False,9891
96,80,225,40,80,False,890,889,46,False,False,12239
96,80,230,40,80,False,482,481,45,False,False,32246
96,80,230,40,80,False,783,782,39,False,False,262828
102,85,244,42,85,False,394,393,45,False,False,212399
102,85,244,42,85,False,854,853,43,False,False,421552
102,85,243,42,85,False,638,638,47,False,False,80588
108,90,259,45,90,False,809,809,49,False,False,458346
108,90,259,45,90,False,516,515,51,False,False,243533
108,90,257,45,90,False,3460,3459,42,False,False,331666
114,95,273,47,95,False,861,920,54,False,False,452190
114,95,272,47,95,False,1401,1402,56,False,False,78071
114,95,273,47,95,False,638,637,56,False,False,79136
120,100,288,50,100,False,464,463,53,False,False,58071
120,100,288,50,100,False,724,723,56,False,False,482385
120,100,285,50,100,False,460,461,56,False,False,129274
126,105,302,52,105,False,421,421,61,False,False,332205
126,105,302,52,105,False,860,860,58,False,False,101083
126,105,301,52,105,False,960,959,57,False,False,549668
132,110,317,55,110,False,599,600,64,False,False,485159
132,110,317,55,110,False,577,576,60,False,False,263347
132,110,317,55,110,False,456,458,58,False,False,349479
138,115,330,57,115,False,1330,1338,68,False,False,78521
138,115,331,57,115,False,525,528,63,False,False,211427
138,115,331,57,115,False,615,939,68,False,False,55687
